
DEBUG - 2015-02-12 11:40:21.890; [qtp524450165-15 - /solr/admin/cores] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.sun.org.apache.xerces.internal.impl.dv.dtd.DTDDVFactoryImpl from null
DEBUG - 2015-02-12 11:40:21.915; [qtp524450165-19 - /solr/admin/cores] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.sun.org.apache.xml.internal.dtm.ref.DTMManagerDefault from null
INFO  - 2015-02-12 11:40:21.916; [qtp524450165-19 - /solr/admin/cores] org.apache.solr.core.SolrConfig.initLibs(SolrConfig.java:535); Adding specified lib dirs to ClassLoader
INFO  - 2015-02-12 11:40:21.919; [qtp524450165-19 - /solr/admin/cores] org.apache.solr.core.SolrResourceLoader.replaceClassLoader(SolrResourceLoader.java:208); Adding 'file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2015-02-12 11:40:21.919; [qtp524450165-19 - /solr/admin/cores] org.apache.solr.core.SolrResourceLoader.replaceClassLoader(SolrResourceLoader.java:208); Adding 'file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
DEBUG - 2015-02-12 11:40:21.919; [qtp524450165-15 - /solr/admin/cores] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.sun.org.apache.xml.internal.dtm.ref.DTMManagerDefault from null
INFO  - 2015-02-12 11:40:21.920; [qtp524450165-19 - /solr/admin/cores] org.apache.solr.core.SolrResourceLoader.replaceClassLoader(SolrResourceLoader.java:208); Adding 'file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/contrib/extraction/lib/asm-3.1.jar' to classloader
INFO  - 2015-02-12 11:40:21.920; [qtp524450165-19 - /solr/admin/cores] org.apache.solr.core.SolrResourceLoader.replaceClassLoader(SolrResourceLoader.java:208); Adding 'file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2015-02-12 11:40:21.920; [qtp524450165-19 - /solr/admin/cores] org.apache.solr.core.SolrResourceLoader.replaceClassLoader(SolrResourceLoader.java:208); Adding 'file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2015-02-12 11:40:21.920; [qtp524450165-15 - /solr/admin/cores] org.apache.solr.core.SolrConfig.initLibs(SolrConfig.java:535); Adding specified lib dirs to ClassLoader
INFO  - 2015-02-12 11:40:21.921; [qtp524450165-19 - /solr/admin/cores] org.apache.solr.core.SolrResourceLoader.replaceClassLoader(SolrResourceLoader.java:208); Adding 'file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2015-02-12 11:40:21.921; [qtp524450165-19 - /solr/admin/cores] org.apache.solr.core.SolrResourceLoader.replaceClassLoader(SolrResourceLoader.java:208); Adding 'file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2015-02-12 11:40:21.921; [qtp524450165-19 - /solr/admin/cores] org.apache.solr.core.SolrResourceLoader.replaceClassLoader(SolrResourceLoader.java:208); Adding 'file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2015-02-12 11:40:21.921; [qtp524450165-19 - /solr/admin/cores] org.apache.solr.core.SolrResourceLoader.replaceClassLoader(SolrResourceLoader.java:208); Adding 'file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2015-02-12 11:40:21.922; [qtp524450165-19 - /solr/admin/cores] org.apache.solr.core.SolrResourceLoader.replaceClassLoader(SolrResourceLoader.java:208); Adding 'file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/contrib/extraction/lib/fontbox-1.8.1.jar' to classloader
INFO  - 2015-02-12 11:40:21.922; [qtp524450165-19 - /solr/admin/cores] org.apache.solr.core.SolrResourceLoader.replaceClassLoader(SolrResourceLoader.java:208); Adding 'file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/contrib/extraction/lib/icu4j-52.1.jar' to classloader
INFO  - 2015-02-12 11:40:21.922; [qtp524450165-15 - /solr/admin/cores] org.apache.solr.core.SolrResourceLoader.replaceClassLoader(SolrResourceLoader.java:208); Adding 'file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
