INFO  - 2014-07-23 11:01:34.262; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
DEBUG - 2014-07-23 11:01:34.467; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.bloom.BloomFilteringPostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.468; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.bloom.BloomFilterFactory from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.469; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.bloom.DefaultBloomFilterFactory from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.471; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.bloom.BloomFilteringPostingsFormat$BloomFilteredFieldsConsumer from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.472; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.bloom.BloomFilteringPostingsFormat$BloomFilteredFieldsProducer from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.473; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.DirectPostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.474; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.DirectPostingsFormat$DirectFields from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.476; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.FSTPulsing41PostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.477; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.FSTTermsWriter from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.479; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.FSTTermsReader from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.480; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.FSTOrdPulsing41PostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.481; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.FSTOrdTermsWriter from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.482; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.FSTOrdTermsReader from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.483; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.FSTPostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.485; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.FSTOrdPostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.488; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.lucene40.Lucene40PostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.489; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.lucene40.Lucene40PostingsReader from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.490; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.lucene41.Lucene41PostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.493; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.pulsing.Pulsing41PostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.494; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.simpletext.SimpleTextPostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.494; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.MemoryPostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.495; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.bloom.BloomFilteringPostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.495; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.DirectPostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.496; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.FSTPulsing41PostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.497; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.FSTOrdPulsing41PostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.497; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.FSTPostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.498; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.FSTOrdPostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.512; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.lucene40.Lucene40PostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.513; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.lucene41.Lucene41PostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.522; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.DocValuesFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.527; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.diskdv.DiskDocValuesFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.528; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.DocValuesConsumer from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.531; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.lucene45.Lucene45DocValuesConsumer from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.531; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.diskdv.DiskDocValuesFormat$1 from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.532; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.DocValuesProducer from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.535; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.lucene45.Lucene45DocValuesProducer from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.535; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.diskdv.DiskDocValuesProducer from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.536; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.MemoryDocValuesFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.538; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.MemoryDocValuesConsumer from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.540; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.MemoryDocValuesProducer from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.541; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.DirectDocValuesFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.542; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.memory.DirectDocValuesConsumer from WebAppClassLoader=1598675078@5f49d886
